2023-12-15 15:36:52.717 [restartedMain] INFO  v.e.i.f.w.WwwLabWeek7Application - Starting WwwLabWeek7Application using Java 17.0.8 with PID 18176 (T:\HK7\LapTrinhWWW\BaiTap\www_lab_week7\build\classes\java\main started by PC in T:\HK7\LapTrinhWWW\BaiTap\www_lab_week7)
2023-12-15 15:36:53.495 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface vn.edu.iuh.fit.www_lab_week7.backend.reponsitory.ProductPriceRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2023-12-15 15:36:53.498 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface vn.edu.iuh.fit.www_lab_week7.backend.reponsitory.ProductRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
2023-12-15 15:36:53.499 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 47 ms. Found 0 JDBC repository interfaces.
2023-12-15 15:36:53.511 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-12-15 15:36:53.515 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-12-15 15:36:53.548 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 28 ms. Found 7 JPA repository interfaces.
2023-12-15 15:36:54.139 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-12-15 15:36:54.150 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-12-15 15:36:54.151 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2023-12-15 15:36:54.202 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-12-15 15:36:54.202 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1426 ms
2023-12-15 15:36:54.244 [restartedMain] WARN  o.a.c.c.C.[Tomcat].[localhost].[/] - Cannot deserialize session attribute [cartItemList] for session [7833FBF7B2012161B4EF548163928D2E]
2023-12-15 15:36:54.351 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-12-15 15:36:54.426 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
2023-12-15 15:36:54.428 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2023-12-15 15:36:54.730 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2023-12-15 15:36:54.756 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-12-15 15:36:54.895 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.mariadb.jdbc.Connection@3630392e
2023-12-15 15:36:54.897 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-12-15 15:36:55.247 [restartedMain] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): vn.edu.iuh.fit.www_lab_week7.backend.pks.OrderDetailPK
2023-12-15 15:36:55.247 [restartedMain] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): vn.edu.iuh.fit.www_lab_week7.backend.pks.OrderDetailPK
2023-12-15 15:36:55.247 [restartedMain] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): vn.edu.iuh.fit.www_lab_week7.backend.pks.ProductPricePK
2023-12-15 15:36:55.247 [restartedMain] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): vn.edu.iuh.fit.www_lab_week7.backend.pks.ProductPricePK
2023-12-15 15:36:55.849 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2023-12-15 15:36:56.186 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-12-15 15:36:56.393 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2023-12-15 15:36:56.714 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-12-15 15:36:57.073 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-12-15 15:36:57.116 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-12-15 15:36:57.126 [restartedMain] INFO  v.e.i.f.w.WwwLabWeek7Application - Started WwwLabWeek7Application in 4.913 seconds (process running for 6.529)
2023-12-15 15:37:21.539 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-12-15 15:37:21.551 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-12-15 15:37:21.551 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2023-12-15 15:37:34.005 [http-nio-8080-exec-4] INFO  v.e.i.f.w.f.c.HomeController - ProductInfos: [ProductInfo(productId=180, imagePath=https://picsum.photos/1680/1050, name=Google Pixel 3, price=100.0), ProductInfo(productId=22, imagePath=https://picsum.photos/1600/1200, name=Google Pixel 5, price=50.0), ProductInfo(productId=153, imagePath=https://picsum.photos/640/200, name=iPhone SE, price=125.0), ProductInfo(productId=205, imagePath=av.jpg,, name=a, price=120.0), ProductInfo(productId=159, imagePath=https://picsum.photos/1600/1200, name=iPhone 14 Plus, price=100.0)]
2023-12-15 15:41:50.190 [http-nio-8080-exec-3] INFO  v.e.i.f.w.f.c.HomeController - ProductInfos: [ProductInfo(productId=180, imagePath=https://picsum.photos/1680/1050, name=Google Pixel 3, price=100.0), ProductInfo(productId=22, imagePath=https://picsum.photos/1600/1200, name=Google Pixel 5, price=50.0), ProductInfo(productId=153, imagePath=https://picsum.photos/640/200, name=iPhone SE, price=125.0), ProductInfo(productId=205, imagePath=av.jpg,, name=a, price=120.0), ProductInfo(productId=159, imagePath=https://picsum.photos/1600/1200, name=iPhone 14 Plus, price=100.0)]
2023-12-15 15:43:27.187 [http-nio-8080-exec-7] INFO  v.e.i.f.w.f.c.HomeController - ProductInfos: [ProductInfo(productId=180, imagePath=https://picsum.photos/1680/1050, name=Google Pixel 3, price=100.0), ProductInfo(productId=22, imagePath=https://picsum.photos/1600/1200, name=Google Pixel 5, price=50.0), ProductInfo(productId=153, imagePath=https://picsum.photos/640/200, name=iPhone SE, price=125.0), ProductInfo(productId=205, imagePath=av.jpg,, name=a, price=120.0), ProductInfo(productId=159, imagePath=https://picsum.photos/1600/1200, name=iPhone 14 Plus, price=100.0)]
2023-12-15 16:02:43.304 [http-nio-8080-exec-6] WARN  o.a.c.util.SessionIdGeneratorBase - Creation of SecureRandom instance for session ID generation using [SHA1PRNG] took [110] milliseconds.
2023-12-15 16:02:58.015 [http-nio-8080-exec-4] INFO  v.e.i.f.w.f.c.HomeController - ProductInfos: [ProductInfo(productId=180, imagePath=https://picsum.photos/1680/1050, name=Google Pixel 3, price=100.0), ProductInfo(productId=22, imagePath=https://picsum.photos/1600/1200, name=Google Pixel 5, price=50.0), ProductInfo(productId=153, imagePath=https://picsum.photos/640/200, name=iPhone SE, price=125.0), ProductInfo(productId=205, imagePath=av.jpg,, name=a, price=120.0), ProductInfo(productId=159, imagePath=https://picsum.photos/1600/1200, name=iPhone 14 Plus, price=100.0)]
2023-12-15 16:03:04.049 [http-nio-8080-exec-5] INFO  v.e.i.f.w.f.c.HomeController - ss: [CartItem(productInfo=ProductInfo(productId=180, imagePath=https://picsum.photos/1680/1050, name=Google Pixel 3, price=100.0), quantity=1)]
2023-12-15 16:03:04.062 [http-nio-8080-exec-3] INFO  v.e.i.f.w.f.c.HomeController - ProductInfos: [ProductInfo(productId=180, imagePath=https://picsum.photos/1680/1050, name=Google Pixel 3, price=100.0), ProductInfo(productId=22, imagePath=https://picsum.photos/1600/1200, name=Google Pixel 5, price=50.0), ProductInfo(productId=153, imagePath=https://picsum.photos/640/200, name=iPhone SE, price=125.0), ProductInfo(productId=205, imagePath=av.jpg,, name=a, price=120.0), ProductInfo(productId=159, imagePath=https://picsum.photos/1600/1200, name=iPhone 14 Plus, price=100.0)]
